iter	Passed	Remaining
0	34	8489
1	63	7815
2	96	7939
3	120	7397
4	143	7040
5	164	6698
6	187	6498
7	211	6397
8	231	6212
9	254	6097
10	279	6062
11	308	6126
12	349	6364
13	390	6579
14	419	6566
15	448	6563
16	479	6571
17	515	6646
18	545	6636
19	574	6604
20	597	6519
21	626	6493
22	654	6457
23	683	6439
24	710	6390
25	741	6385
26	769	6355
27	796	6316
28	827	6303
29	858	6294
30	888	6278
31	918	6256
32	941	6193
33	969	6158
34	997	6125
35	1031	6133
36	1069	6154
37	1104	6164
38	1135	6142
39	1163	6108
40	1191	6076
41	1221	6050
42	1249	6015
43	1277	5981
44	1305	5948
45	1336	5928
46	1371	5922
47	1404	5911
48	1441	5913
49	1470	5882
50	1497	5844
51	1526	5813
52	1553	5773
53	1580	5737
54	1610	5708
55	1639	5681
56	1667	5646
57	1695	5613
58	1721	5572
59	1748	5536
60	1775	5501
61	1807	5479
62	1845	5476
63	1881	5467
64	1918	5459
65	1947	5429
66	1979	5405
67	2016	5397
68	2055	5392
69	2089	5373
70	2123	5352
71	2148	5311
72	2181	5288
73	2211	5259
74	2253	5257
75	2293	5251
76	2342	5262
77	2376	5240
78	2407	5211
79	2442	5190
80	2479	5173
81	2516	5155
82	2554	5139
83	2590	5119
84	2622	5091
85	2653	5060
86	2683	5027
87	2713	4994
88	2741	4959
89	2773	4931
90	2803	4898
91	2831	4862
92	2866	4838
93	2897	4809
94	2930	4781
95	2961	4751
96	2994	4722
97	3037	4711
98	3075	4690
99	3110	4665
100	3140	4633
101	3171	4601
102	3203	4572
103	3234	4540
104	3264	4508
105	3299	4482
106	3330	4450
107	3367	4427
108	3404	4403
109	3436	4374
110	3468	4343
111	3505	4318
112	3540	4293
113	3574	4264
114	3604	4231
115	3638	4203
116	3670	4172
117	3714	4154
118	3756	4134
119	3802	4118
120	3845	4099
121	3887	4078
122	3937	4065
123	3972	4036
124	4028	4028
125	4068	4004
126	4108	3978
127	4142	3948
128	4177	3918
129	4209	3885
130	4237	3849
131	4265	3813
132	4293	3776
133	4319	3739
134	4349	3705
135	4381	3673
136	4413	3640
137	4444	3607
138	4476	3574
139	4504	3539
140	4533	3504
141	4564	3471
142	4592	3436
143	4620	3401
144	4652	3368
145	4682	3335
146	4713	3302
147	4744	3270
148	4774	3236
149	4801	3201
150	4828	3165
151	4855	3130
152	4887	3098
153	4918	3066
154	4947	3032
155	4977	2999
156	5014	2970
157	5058	2945
158	5093	2915
159	5121	2880
160	5155	2849
161	5188	2818
162	5219	2786
163	5253	2754
164	5282	2721
165	5315	2689
166	5348	2658
167	5386	2629
168	5420	2597
169	5454	2566
170	5488	2535
171	5518	2502
172	5549	2470
173	5581	2437
174	5613	2405
175	5646	2374
176	5678	2341
177	5707	2308
178	5738	2276
179	5769	2243
180	5795	2209
181	5826	2176
182	5856	2144
183	5888	2112
184	5918	2079
185	5950	2047
186	5983	2015
187	6022	1986
188	6063	1956
189	6092	1924
190	6123	1891
191	6153	1858
192	6184	1826
193	6216	1794
194	6244	1761
195	6272	1728
196	6301	1695
197	6329	1662
198	6355	1628
199	6386	1596
200	6415	1564
201	6444	1531
202	6471	1498
203	6497	1465
204	6526	1432
205	6554	1400
206	6585	1368
207	6616	1336
208	6648	1304
209	6682	1272
210	6711	1240
211	6742	1208
212	6771	1176
213	6800	1143
214	6832	1112
215	6869	1081
216	6903	1049
217	6935	1018
218	6974	987
219	7015	956
220	7048	924
221	7092	894
222	7123	862
223	7154	830
224	7182	798
225	7212	765
226	7247	734
227	7278	702
228	7310	670
229	7340	638
230	7372	606
231	7407	574
232	7440	542
233	7475	511
234	7507	479
235	7539	447
236	7570	415
237	7603	383
238	7630	351
239	7659	319
240	7691	287
241	7722	255
242	7752	223
243	7784	191
244	7812	159
245	7842	127
246	7873	95
247	7902	63
248	7933	31
249	7972	0
