iter	Logloss
0	0.2430096334
1	0.2012899463
2	0.192897006
3	0.1908359411
4	0.1892169586
5	0.1880973985
6	0.1870333778
7	0.1853192582
8	0.1846314176
9	0.1831437772
10	0.1819434791
11	0.1812846742
12	0.1805247837
13	0.1795664767
14	0.1792901885
15	0.1788174915
16	0.1772719258
17	0.1764359334
18	0.1756625084
19	0.1746813747
20	0.1733341786
21	0.1732773731
22	0.1725840503
23	0.1717344932
24	0.1711183992
25	0.170446838
26	0.1699111635
27	0.1690330256
28	0.1682568458
29	0.1681635868
30	0.1675906466
31	0.167038936
32	0.1667809207
33	0.1664571376
34	0.1658603857
35	0.1653745012
36	0.164818163
37	0.1644658417
38	0.1636242694
39	0.1632981159
40	0.1627823971
41	0.1624575738
42	0.1623202528
43	0.1617832509
44	0.1611299858
45	0.1606816638
46	0.1602038599
47	0.1598637066
48	0.1593109471
49	0.1588825305
50	0.1585867628
51	0.1583527522
52	0.1578602839
53	0.1573681809
54	0.1568580257
55	0.1567028011
56	0.1566866867
57	0.1562992323
58	0.1561435346
59	0.1559192775
60	0.155540645
61	0.1552424124
62	0.1549226709
63	0.1543988672
64	0.1537471868
65	0.1532955767
66	0.1529450221
67	0.1524873702
68	0.1524428148
69	0.1521288665
70	0.1517906014
71	0.1515317072
72	0.151258949
73	0.1508192442
74	0.1503787344
75	0.1499705698
76	0.1494643297
77	0.1492084569
78	0.148714068
79	0.1483913478
80	0.1480083387
81	0.1477410251
82	0.1473502315
83	0.1471095135
84	0.1467600433
85	0.1466475911
86	0.1463569784
87	0.1457481036
88	0.1454756785
89	0.1452346183
90	0.1447824405
91	0.1446100829
92	0.1441023214
93	0.1438270313
94	0.1434724866
95	0.1430861584
96	0.142804589
97	0.1426038025
98	0.1420352133
99	0.1416771537
100	0.141326115
101	0.1411748338
102	0.1410461278
103	0.140740498
104	0.1404817989
105	0.1403209735
106	0.1401650078
107	0.1397539077
108	0.1393469118
109	0.1391556095
110	0.1389155801
111	0.1384567221
112	0.1380556528
113	0.1377042612
114	0.137149097
115	0.1368829905
116	0.1363626176
117	0.1360116171
118	0.1358613131
119	0.1355031512
120	0.1352836695
121	0.1349520603
122	0.1348697649
123	0.1345304565
124	0.1344239926
125	0.1341934519
126	0.1337464633
127	0.1335387768
128	0.1333962
129	0.1331962429
130	0.1328044315
131	0.1326939824
132	0.1321329315
133	0.1318087778
134	0.1314793967
135	0.1311557045
136	0.1307695297
137	0.1305056136
138	0.1303865453
139	0.1302138801
140	0.1301000435
141	0.1297557525
142	0.1296418227
143	0.1293382364
144	0.1292743954
145	0.1290671884
146	0.1285977312
147	0.1283391351
148	0.1281592005
149	0.1277285515
150	0.1274179127
151	0.1271966601
152	0.1267375502
153	0.1266469428
154	0.1263466374
155	0.1259271571
156	0.1258755234
157	0.1257791037
158	0.1253440342
159	0.1251378119
160	0.1248914739
161	0.1244506544
162	0.1242734912
163	0.1241224692
164	0.123763796
165	0.1233739823
166	0.1229630416
167	0.1224633359
168	0.122106387
169	0.1218219974
170	0.1214574985
171	0.1209158642
172	0.1208908515
173	0.1208332867
174	0.1204518605
175	0.1198381819
176	0.1196483339
177	0.1196379362
178	0.1193847966
179	0.1192659248
180	0.1189381698
181	0.118755321
182	0.1186971338
183	0.1182197294
184	0.1178010344
185	0.1176160592
186	0.1175139142
187	0.1174272608
188	0.1172951862
189	0.1170919603
190	0.1167671029
191	0.1165384613
192	0.1162924333
193	0.1159903577
194	0.1153972994
195	0.115077931
196	0.1146207419
197	0.1143339089
198	0.1140178374
199	0.1137825268
200	0.1134079986
201	0.1132322723
202	0.1129418243
203	0.1128210427
204	0.1125582759
205	0.1124769518
206	0.1122184461
207	0.1119452039
208	0.1117900271
209	0.1116864708
210	0.1113820725
211	0.1111926394
212	0.1109852283
213	0.1108867644
214	0.110650996
215	0.110444159
216	0.1102404411
217	0.1099813083
218	0.1098223727
219	0.1095903604
220	0.1092078949
221	0.1089512731
222	0.1086230742
223	0.1084217569
224	0.1082655885
225	0.1080741295
226	0.1078454417
227	0.1077263958
228	0.1075107237
229	0.1073089059
230	0.1069578013
231	0.1069002036
232	0.1067820588
233	0.1066027508
234	0.1063774411
235	0.1059729423
236	0.1057347822
237	0.1053540183
238	0.1053261491
239	0.1049477215
240	0.1047223384
241	0.1045408099
242	0.1042024203
243	0.1041931167
244	0.1037782311
245	0.1035472287
246	0.1033613062
247	0.1031659385
248	0.1027417542
249	0.1025047803
