iter	Passed	Remaining
0	9	2335
1	17	2200
2	26	2185
3	36	2241
4	46	2272
5	55	2243
6	64	2225
7	72	2196
8	81	2174
9	94	2260
10	106	2305
11	116	2313
12	127	2323
13	136	2296
14	146	2297
15	156	2287
16	166	2288
17	176	2276
18	185	2260
19	195	2251
20	204	2227
21	213	2215
22	223	2202
23	232	2189
24	242	2178
25	250	2160
26	260	2148
27	269	2137
28	279	2132
29	289	2121
30	298	2107
31	308	2102
32	317	2089
33	328	2085
34	337	2072
35	346	2059
36	355	2048
37	364	2032
38	373	2021
39	382	2006
40	391	1998
41	401	1986
42	411	1979
43	419	1963
44	428	1953
45	437	1942
46	451	1951
47	461	1941
48	470	1931
49	479	1918
50	491	1916
51	503	1916
52	512	1906
53	522	1894
54	532	1889
55	542	1879
56	551	1868
57	573	1898
58	586	1897
59	595	1886
60	606	1877
61	616	1868
62	624	1853
63	634	1843
64	643	1830
65	653	1822
66	663	1811
67	674	1805
68	684	1796
69	694	1786
70	704	1775
71	714	1767
72	724	1755
73	734	1745
74	743	1735
75	752	1723
76	762	1713
77	771	1700
78	781	1691
79	791	1681
80	801	1672
81	811	1661
82	820	1651
83	830	1641
84	840	1630
85	849	1619
86	858	1609
87	868	1598
88	877	1587
89	887	1576
90	896	1567
91	906	1556
92	916	1546
93	926	1537
94	935	1526
95	946	1517
96	956	1507
97	965	1497
98	975	1487
99	983	1475
100	993	1465
101	1001	1453
102	1011	1444
103	1021	1433
104	1029	1422
105	1039	1412
106	1048	1401
107	1058	1391
108	1067	1380
109	1076	1370
110	1085	1359
111	1094	1348
112	1103	1338
113	1113	1328
114	1122	1318
115	1131	1306
116	1140	1296
117	1148	1284
118	1158	1274
119	1167	1264
120	1176	1254
121	1186	1244
122	1194	1233
123	1204	1224
124	1213	1213
125	1222	1203
126	1231	1193
127	1241	1182
128	1250	1172
129	1258	1161
130	1268	1152
131	1276	1141
132	1285	1130
133	1293	1119
134	1303	1110
135	1312	1100
136	1320	1089
137	1329	1079
138	1338	1068
139	1347	1058
140	1356	1048
141	1365	1038
142	1374	1028
143	1384	1019
144	1393	1009
145	1403	999
146	1412	989
147	1421	979
148	1429	969
149	1437	958
150	1447	948
151	1455	938
152	1468	931
153	1481	923
154	1490	913
155	1499	903
156	1511	895
157	1520	885
158	1529	875
159	1544	869
160	1554	859
161	1564	850
162	1574	840
163	1583	830
164	1593	820
165	1602	811
166	1613	801
167	1622	791
168	1631	781
169	1640	772
170	1650	762
171	1660	752
172	1669	743
173	1680	733
174	1689	724
175	1698	713
176	1707	704
177	1716	694
178	1726	685
179	1736	675
180	1745	665
181	1755	655
182	1764	646
183	1773	635
184	1782	626
185	1792	616
186	1801	606
187	1811	597
188	1820	587
189	1829	577
190	1838	567
191	1845	557
192	1854	547
193	1862	537
194	1872	528
195	1881	518
196	1890	508
197	1899	498
198	1908	489
199	1916	479
200	1925	469
201	1934	459
202	1943	450
203	1953	440
204	1961	430
205	1970	420
206	1979	411
207	1988	401
208	1998	392
209	2007	382
210	2017	372
211	2025	363
212	2034	353
213	2043	343
214	2054	334
215	2063	324
216	2074	315
217	2085	306
218	2094	296
219	2103	286
220	2112	277
221	2123	267
222	2132	258
223	2141	248
224	2151	239
225	2161	229
226	2171	219
227	2181	210
228	2189	200
229	2199	191
230	2208	181
231	2217	172
232	2226	162
233	2236	152
234	2246	143
235	2255	133
236	2264	124
237	2274	114
238	2285	105
239	2294	95
240	2303	86
241	2312	76
242	2322	66
243	2332	57
244	2342	47
245	2350	38
246	2360	28
247	2371	19
248	2379	9
249	2390	0
